iter	Passed	Remaining
0	103	41116
1	148	29605
2	187	24752
3	223	22165
4	261	20669
5	299	19660
6	340	19110
7	388	19035
8	428	18614
9	470	18352
10	513	18152
11	553	17903
12	593	17669
13	632	17441
14	673	17296
15	717	17215
16	757	17069
17	802	17020
18	855	17156
19	904	17192
20	953	17209
21	1002	17217
22	1043	17099
23	1086	17022
24	1127	16916
25	1168	16804
26	1208	16696
27	1256	16695
28	1310	16761
29	1352	16678
30	1399	16663
31	1439	16550
32	1478	16446
33	1521	16375
34	1573	16412
35	1613	16315
36	1652	16212
37	1694	16144
38	1737	16081
39	1777	15997
40	1817	15913
41	1883	16057
42	1943	16132
43	2015	16303
44	2106	16621
45	2226	17135
46	2268	17035
47	2311	16951
48	2352	16850
49	2393	16755
50	2442	16715
51	2483	16617
52	2525	16537
53	2566	16443
54	2607	16354
55	2647	16264
56	2689	16186
57	2733	16116
58	2781	16078
59	2824	16004
60	2868	15942
61	2912	15877
62	2955	15808
63	3001	15757
64	3055	15746
65	3110	15739
66	3154	15677
67	3199	15619
68	3242	15553
69	3286	15491
70	3329	15427
71	3372	15362
72	3416	15304
73	3461	15250
74	3506	15196
75	3554	15151
76	3597	15089
77	3641	15033
78	3685	14973
79	3727	14910
80	3775	14869
81	3827	14841
82	3895	14878
83	3941	14829
84	3986	14771
85	4041	14756
86	4086	14702
87	4132	14652
88	4176	14592
89	4220	14537
90	4262	14472
91	4305	14415
92	4350	14362
93	4392	14299
94	4436	14244
95	4480	14189
96	4525	14137
97	4568	14078
98	4614	14029
99	4656	13970
100	4699	13913
101	4744	13862
102	4786	13802
103	4832	13755
104	4877	13704
105	4922	13652
106	4965	13596
107	5010	13546
108	5052	13489
109	5096	13436
110	5142	13390
111	5183	13329
112	5232	13289
113	5283	13254
114	5323	13193
115	5368	13144
116	5412	13090
117	5454	13034
118	5497	12980
119	5541	12930
120	5583	12874
121	5626	12820
122	5669	12768
123	5711	12713
124	5756	12664
125	5801	12616
126	5847	12569
127	5889	12515
128	5933	12463
129	5980	12421
130	6025	12372
131	6068	12320
132	6111	12269
133	6157	12223
134	6203	12176
135	6246	12124
136	6290	12076
137	6334	12025
138	6379	11979
139	6421	11926
140	6464	11873
141	6508	11824
142	6564	11796
143	6609	11749
144	6651	11697
145	6693	11644
146	6735	11591
147	6779	11543
148	6828	11503
149	6893	11488
150	6937	11439
151	6981	11391
152	7027	11344
153	7069	11292
154	7111	11240
155	7157	11195
156	7201	11146
157	7245	11097
158	7288	11046
159	7330	10995
160	7378	10952
