iter	Passed	Remaining
0	5874	5868680
1	13166	6570160
2	20512	6817079
3	27364	6813784
4	34072	6780475
5	40939	6782244
6	48642	6900306
7	56347	6987042
8	63062	6943874
9	70167	6946564
10	77243	6944858
11	83798	6899424
12	90527	6873116
13	97294	6852332
14	104547	6865286
15	112474	6917184
16	122381	7076551
17	129034	7039547
18	136408	7042975
19	144089	7060369
20	155460	7247419
21	165658	7364282
22	174071	7394246
23	181714	7389703
24	188925	7368077
25	196842	7374026
26	204607	7373430
27	211488	7341655
28	217837	7293800
29	224852	7270246
30	231372	7232258
31	237923	7197172
32	244590	7167231
33	250958	7130177
34	257639	7103495
35	264004	7069445
36	270325	7035757
37	276491	6999602
38	283822	6993688
39	291595	6998280
40	299128	6996684
41	305476	6967764
42	312468	6954233
43	319615	6944380
44	327274	6945489
45	337320	6995740
46	344361	6982487
47	353413	7009375
48	360543	6997483
49	366032	6954614
50	372761	6936288
51	386749	7050737
52	394924	7056476
53	402175	7045512
54	409974	7044110
55	417842	7043623
56	424217	7018191
57	430517	6992199
58	437203	6973024
59	443510	6948336
60	450835	6939914
61	457276	6918157
62	464365	6906511
63	471447	6894918
64	478732	6886383
65	485533	6871040
66	492005	6851360
67	498857	6837275
68	505291	6817772
69	513800	6826212
70	522237	6833214
71	530293	6834893
72	538012	6832026
73	544252	6810507
74	550921	6794700
75	557696	6780411
76	564227	6763396
77	572048	6761910
78	578665	6746212
79	587084	6751467
80	595265	6753690
81	601714	6736268
82	608407	6721801
83	615463	6711486
84	621951	6695129
85	628412	6678709
86	634950	6663329
87	642102	6654518
88	648417	6637175
89	654879	6621561
90	661380	6606532
91	667314	6586106
92	673553	6568954
93	679831	6552418
94	685424	6529565
95	691909	6515484
96	697800	6496020
97	704313	6482555
98	711803	6478126
99	718504	6466539
100	724851	6451895
101	731957	6444097
102	738973	6435523
103	745352	6421501
104	751430	6405047
105	757432	6388154
106	764717	6382178
107	772563	6380805
108	780124	6376981
109	786928	6366970
110	793708	6356815
111	800496	6346792
112	806919	6333959
113	813551	6322865
114	820004	6310471
115	826133	6295709
116	832466	6282631
117	838962	6270890
118	845703	6261046
119	852242	6249778
120	859572	6244334
121	865656	6229890
122	871616	6214694
123	878197	6204043
124	885390	6197735
125	892842	6193209
126	899139	6180698
127	905269	6167151
128	910531	6147854
129	916542	6133781
130	923247	6124441
131	929599	6112821
132	936391	6104147
133	943425	6097062
134	950549	6090557
135	957688	6084139
136	964098	6073119
137	970376	6061335
138	976803	6050559
139	983115	6039139
140	989465	6028023
141	996230	6019479
142	1003430	6013568
143	1010328	6005839
144	1017146	5997658
145	1023518	5986881
146	1030385	5979037
147	1036971	5969593
148	1043063	5957365
149	1049378	5946476
150	1056287	5938992
151	1063266	5931906
152	1070807	5927931
153	1077967	5921822
154	1084389	5911672
155	1091423	5904882
156	1098027	5895777
157	1103744	5881979
158	1109396	5867941
159	1115923	5858597
160	1122522	5849665
161	1128677	5838466
162	1134665	5826473
163	1141145	5817057
164	1147529	5807193
